Date,Close/Last,Volume,Open,High,Low
07/25/2022,119.6562,873712,120.0625,120.0781,119.4844
07/22/2022,119.8906,1705028,119.125,120.3438,118.9375
07/21/2022,118.9062,1737266,117.8125,119.2031,117.4531
07/20/2022,117.7812,1098035,117.9062,118.5469,117.7344
07/19/2022,117.9688,988545,118.1875,118.4844,117.8594
07/18/2022,118.4688,908051,118.6562,118.9219,118
07/15/2022,118.6406,1149070,118.4219,119,118.3594
07/14/2022,118.5,1576184,118.7812,118.9375,117.8906
07/13/2022,118.9219,2037144,118.5469,119.1875,117.75
07/12/2022,118.6562,1403644,118.2969,119.0938,118.2969
07/11/2022,118.375,1052321,117.6875,118.5938,117.5781
07/08/2022,117.625,1292581,118.3594,118.625,117.5625
07/07/2022,118.2656,1314875,118.8594,119.1562,118.1875
07/06/2022,119.0469,1559748,119.8906,119.2969,118.8438
07/05/2022,119.9219,1680144,119.4688,120.2188,118.7188
07/01/2022,119.2656,1904322,118.2812,120.125,118.1875
06/30/2022,118.5312,1780307,117.5469,118.5625,117.4375
06/29/2022,117.5156,1165755,116.8906,117.5938,116.8281
06/28/2022,116.7031,1230961,116.75,117.0312,116.3438
06/27/2022,116.8125,1122082,117.2656,117.4062,116.5781
06/24/2022,117.3438,1245598,117.5312,118,117.2188
06/23/2022,117.6562,2107708,116.875,118.25,116.7969
06/22/2022,116.9531,1612752,115.9219,117.1875,115.8906
06/21/2022,115.7969,1230964,116.0781,116.3281,115.7031
06/17/2022,116.1875,1423866,116.4531,116.5938,115.625
06/16/2022,115.8125,1906887,115.875,116.6562,114.3125
06/15/2022,115.1562,2077800,114.3438,115.9531,114.3125
06/14/2022,114.4062,2139804,115.1875,116.0938,114.2344
06/13/2022,115.2812,2312086,116.75,116.7812,114.6406
06/10/2022,116.8125,2144456,117.9062,118.1875,116.7031
06/09/2022,117.9219,1335811,118.0625,118.2188,117.6875
06/08/2022,118.0781,1121976,118.375,118.4062,117.9062
06/07/2022,118.4219,1254130,117.9375,118.5312,117.7031
06/06/2022,117.9219,1024046,118.625,118.7344,117.875
06/03/2022,118.5469,1010710,118.8438,118.9375,118.3594
06/02/2022,118.8594,1005560,118.8125,118.9688,118.5781
06/01/2022,118.6406,1642356,119.4062,119.5156,118.5156
05/31/2022,119.4531,2354982,120.2188,120.25,119.2031
05/27/2022,120.1406,1012813,120.25,120.5,120.1094
05/26/2022,120.625,1835938,120.5938,120.9688,120.3125
05/25/2022,120.5938,3327085,120.4062,120.8125,120.2969
05/24/2022,120.375,3411242,119.6562,120.6875,119.5625
05/23/2022,119.5781,1580170,120.1094,120.1094,119.4844
05/20/2022,120.125,1431719,119.8281,120.2656,119.5
05/19/2022,119.7031,2167463,119.4219,120.3125,119.1875
05/18/2022,119.4375,1657227,118.7188,119.5312,118.5
05/17/2022,118.8594,1350314,119.6719,119.75,118.6562
05/16/2022,119.6719,1115840,119.2031,119.8594,119.0469
05/13/2022,119.1719,1150275,119.7188,119.7344,119.0938
05/12/2022,120,1928819,119.1875,120.0156,119.1406
05/11/2022,119.2656,2144946,118.7656,119.4062,118.1094
05/10/2022,118.7812,1743923,118.4531,119.1875,118.25
05/09/2022,118.1875,1651831,117.625,118.6094,117.2656
05/06/2022,117.7969,1668620,118.1875,118.2969,117.5781
05/05/2022,118.0625,1920427,118.9219,119.2969,117.8125
05/04/2022,119.1562,1696211,118.375,119.2031,118.1406
05/03/2022,118.5156,1335080,118.3906,118.9375,118.1406
05/02/2022,118.3438,1204463,118.75,119.0625,118.2188
04/29/2022,119.1562,2061780,119.6562,119.75,118.75
04/28/2022,119.3594,1874976,119.6875,120.0312,119.2031
04/27/2022,119.7969,1536175,120.4375,120.5781,119.5938
04/26/2022,120.0469,1498008,119.5312,120.5,119.2344
04/25/2022,119.6094,1703952,118.9531,120.1875,118.8281
04/22/2022,118.9375,1458890,118.7188,119.1406,118.25
04/21/2022,118.75,1527828,119.5156,119.5625,118.4375
04/20/2022,119.5,1654778,118.9219,119.6406,118.6094
04/19/2022,119.1094,1515373,119.6094,119.8281,118.8438
04/18/2022,119.6406,831889,119.7969,120.0156,119.3594
04/14/2022,119.9375,1723537,120.6719,121.2812,119.7031
04/13/2022,120.7969,1772827,120.4219,121.2188,119.9688
04/12/2022,120.5,2075737,119.7188,120.8125,119.3281
04/11/2022,119.75,1377723,120,120.0938,119.5312
04/08/2022,120.125,1400055,120.4688,120.7188,119.9062
04/07/2022,120.5469,1668441,120.7656,121.2031,120.3906
04/06/2022,120.6875,2071764,120.9375,121.0469,120.1719
04/05/2022,120.9219,1662474,122.1406,122.3125,120.7969
04/04/2022,122.0938,1161557,122.0781,122.3906,121.8438
04/01/2022,122.2344,1813806,122.6562,122.6719,121.75
03/31/2022,122.875,2084585,122.7031,123.125,122.5781
03/30/2022,122.625,1674216,122.3281,122.8281,122.0156
03/29/2022,122.3281,1986962,121.75,122.4375,121.0938
03/28/2022,121.7031,1724424,121.6719,122.1875,120.9531
03/25/2022,121.5469,1752474,122.6875,122.9375,121.5
03/24/2022,122.9219,1386456,123.2969,123.3125,122.5156
03/23/2022,123.1406,1544859,122.6406,123.375,122.375
03/22/2022,122.75,1516017,123.2969,123.3594,122.5938
03/21/2022,123.1875,1481547,124.5,124.5625,123.1562
03/18/2022,124.6406,1172762,124.4531,124.7969,124.3281
03/17/2022,124.3281,1425523,124.25,124.8906,124.125
03/16/2022,124.2344,1798374,124.75,124.875,123.7969
03/15/2022,124.6562,1473667,124.8594,125.375,124.5625
03/14/2022,124.8125,1392523,126.0938,126.125,124.75
03/11/2022,125.9375,1258262,126.1406,126.4219,125.8594
03/10/2022,126.0156,1606959,126.5312,126.8281,125.9219
03/09/2022,126.5469,1512340,127.3281,127.4531,126.5156
03/08/2022,127.1562,1607637,127.9531,128.125,127.0781
03/07/2022,128.1094,1656131,128.5938,129.125,127.7969
03/04/2022,128.5312,1972580,127.5312,128.8594,127.3906
03/03/2022,127.5156,1695487,127.2812,127.6406,127.0781
03/02/2022,127.2812,2272697,128.5156,128.9219,127
03/01/2022,128.7344,3032754,127.4531,128.9844,127.1875
02/28/2022,127.4375,2575658,126.9062,127.5938,126.7344
02/25/2022,126.1719,1723515,126.4062,126.6406,125.9062
02/24/2022,126.4688,3742432,126.1875,127.3906,126.1875
02/23/2022,126.2812,3773595,126.5156,126.6094,126.0938
02/22/2022,126.4688,4373147,126.7969,127.2812,126.375
02/18/2022,126.6719,1687329,126.4844,126.7969,126.2188
02/17/2022,126.4219,1952582,125.7969,126.4844,125.7812
02/16/2022,125.8125,1730805,125.7031,126.0312,125.6406
02/15/2022,125.7344,1738723,126.0312,126.2031,125.5781
02/14/2022,125.9844,2247653,126.5156,126.3594,125.9219
02/11/2022,126.3906,2885301,125.75,126.7344,125.5938
02/10/2022,125.7969,3028625,126.6406,126.8125,125.5469
02/09/2022,126.75,1620041,126.4844,126.9219,126.4219
02/08/2022,126.5781,1495145,126.8906,126.9219,126.4688
02/07/2022,126.9062,1222446,126.8438,127.0312,126.7031
02/04/2022,126.7656,2062982,127.5781,127.75,126.7344
02/03/2022,127.6406,1586398,128.0312,128.2344,127.5
02/02/2022,128.125,1323047,127.875,128.2969,127.7656
02/01/2022,127.875,1631084,128.0156,128.3594,127.6875
01/31/2022,127.9688,1801032,127.9062,128.0469,127.6719
01/28/2022,127.9531,1780506,127.6719,128.0312,127.3281
01/27/2022,127.6562,2122864,127.3438,127.875,127.2812
01/26/2022,127.5156,1864651,128.2031,128.2656,127.2031
01/25/2022,128.125,1692452,128.2031,128.5312,128.0312
