Date,Open,High,Low,Close,Adj Close,Volume
2021-07-26,0.285000,0.285000,0.275000,0.275000,0.275000,2319066
2021-07-27,0.275000,0.285000,0.275000,0.280000,0.280000,2261731
2021-07-28,0.275000,0.280000,0.270000,0.280000,0.280000,2221723
2021-07-29,0.305000,0.330000,0.290000,0.320000,0.320000,20685317
2021-07-30,0.310000,0.320000,0.300000,0.300000,0.300000,5741554
2021-08-02,0.300000,0.300000,0.285000,0.290000,0.290000,5728861
2021-08-03,0.290000,0.295000,0.285000,0.285000,0.285000,1995864
2021-08-04,0.290000,0.302500,0.290000,0.300000,0.300000,1883524
2021-08-05,0.300000,0.300000,0.285000,0.285000,0.285000,2996326
2021-08-06,0.290000,0.290000,0.285000,0.285000,0.285000,704587
2021-08-09,0.285000,0.285000,0.265000,0.270000,0.270000,9115913
2021-08-10,0.270000,0.275000,0.260000,0.260000,0.260000,5226648
2021-08-11,0.265000,0.275000,0.265000,0.270000,0.270000,3730756
2021-08-12,0.270000,0.270000,0.265000,0.265000,0.265000,875202
2021-08-13,0.270000,0.295000,0.270000,0.290000,0.290000,5936809
2021-08-16,0.290000,0.290000,0.275000,0.275000,0.275000,2939673
2021-08-17,0.275000,0.280000,0.265000,0.265000,0.265000,1870289
2021-08-18,0.265000,0.275000,0.265000,0.270000,0.270000,1199137
2021-08-19,0.275000,0.285000,0.270000,0.270000,0.270000,3396865
2021-08-20,0.275000,0.285000,0.265000,0.265000,0.265000,3739909
2021-08-23,0.265000,0.275000,0.260000,0.265000,0.265000,3513873
2021-08-24,0.265000,0.270000,0.265000,0.265000,0.265000,764095
2021-08-25,0.265000,0.275000,0.265000,0.270000,0.270000,1668988
2021-08-26,0.270000,0.270000,0.265000,0.265000,0.265000,791416
2021-08-27,0.265000,0.270000,0.265000,0.270000,0.270000,1025020
2021-08-30,0.270000,0.280000,0.265000,0.265000,0.265000,6007108
2021-08-31,0.270000,0.270000,0.237500,0.240000,0.240000,14858119
2021-09-01,0.240000,0.240000,0.230000,0.235000,0.235000,5298807
2021-09-02,0.235000,0.250000,0.235000,0.245000,0.245000,2902307
2021-09-03,0.245000,0.245000,0.235000,0.240000,0.240000,3422784
2021-09-06,0.235000,0.237500,0.230000,0.230000,0.230000,2375213
2021-09-07,0.230000,0.240000,0.230000,0.235000,0.235000,1225669
2021-09-08,0.235000,0.237500,0.230000,0.230000,0.230000,1599760
2021-09-09,0.230000,0.230000,0.220000,0.220000,0.220000,4342553
2021-09-10,0.225000,0.225000,0.215000,0.220000,0.220000,4626037
2021-09-13,0.220000,0.220000,0.210000,0.215000,0.215000,4134107
2021-09-14,0.225000,0.255000,0.220000,0.245000,0.245000,9720467
2021-09-15,0.245000,0.255000,0.235000,0.250000,0.250000,3062867
